Topic cluster,Primary owner URL,Page URL,Page role,Relationship level,Link direction,Protected role,Future action,Evidence
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 442 words; 12 content headings; authored route; nearest /learn/buddhism-101/the-three-jewels-explained/ combined overlap 43.2%; external source links 1; role review: BEGINNER_FOUNDATION; owner selection: The hub organizes foundational lessons whose individual concepts may have their own owners.
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-for-beginners/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 404 words; 4 content headings; authored route; nearest /articles/first-week-buddhist-practice/ combined overlap 17.7%; external source links 0; role review: PRIMARY_PILLAR; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
Buddhist Dictionary,https://echobuddha.com/learn/buddhist-dictionary/,https://echobuddha.com/learn/buddhist-dictionary/anatta/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 293 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/anicca/ combined overlap 54.8%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: The hub organizes term definitions; it does not own every broad doctrinal topic represented by its entries.
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhist-dictionary/anicca/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 275 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/dukkha/ combined overlap 55.2%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
Compassion,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/learn/buddhist-dictionary/compassion/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 260 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karuna/ combined overlap 61.9%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
Dhamma / Dharma,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 573 words; 14 content headings; authored route; nearest /learn/buddhist-dictionary/sangha/ combined overlap 40.2%; external source links 2; role review: PRIMARY_PILLAR; owner selection: The dictionary page owns meaning and linguistic context; the article owns the comparison question.
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/buddhist-dictionary/dukkha/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 284 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/anicca/ combined overlap 55.2%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
Buddhist Dictionary,https://echobuddha.com/learn/buddhist-dictionary/,https://echobuddha.com/learn/buddhist-dictionary/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 326 words; 2 content headings; authored route; nearest /learn/buddhism-101/ combined overlap 17.3%; external source links 2; role review: HUB; owner selection: The hub organizes term definitions; it does not own every broad doctrinal topic represented by its entries.
Karma,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,https://echobuddha.com/learn/buddhist-dictionary/karma/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 277 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/mindfulness/ combined overlap 55.4%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: The lesson owns the broad Buddhist meaning; the article applies intention and consequence to daily choices.
Compassion,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/learn/buddhist-dictionary/karuna/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 309 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/compassion/ combined overlap 61.9%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/learn/buddhist-dictionary/metta/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 315 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karuna/ combined overlap 59.7%; external source links 1; role review: PRIMARY_PILLAR; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 244 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/sati/ combined overlap 61.9%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
Buddhist Dictionary,https://echobuddha.com/learn/buddhist-dictionary/,https://echobuddha.com/learn/buddhist-dictionary/nirvana/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 272 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/mindfulness/ combined overlap 54.5%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: The hub organizes term definitions; it does not own every broad doctrinal topic represented by its entries.
Sutta Study,https://echobuddha.com/learn/sutta-for-daily-life/,https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,HUMAN_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 368 words; 9 content headings; authored route; nearest /learn/buddhist-dictionary/sutta/ combined overlap 61.0%; external source links 4; role review: DICTIONARY_DEFINITION; owner selection: The hub owns navigation into specific canonical-text studies; doctrine pillars own general explanations.
Sangha,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,https://echobuddha.com/learn/buddhist-dictionary/sangha/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 357 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karuna/ combined overlap 56.3%; external source links 2; role review: DICTIONARY_DEFINITION; owner selection: It provides the fuller community explanation; the dictionary and temple guide have narrower roles.
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/learn/buddhist-dictionary/sati/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 257 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/mindfulness/ combined overlap 61.9%; external source links 1; role review: DICTIONARY_DEFINITION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
Sutta Study,https://echobuddha.com/learn/sutta-for-daily-life/,https://echobuddha.com/learn/buddhist-dictionary/sutta/,DICTIONARY_DEFINITION,LEVEL 3,DICTIONARY_DEFINITION → primary owner,No,HUMAN_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 323 words; 9 content headings; authored route; nearest /learn/buddhist-dictionary/pali-canon/ combined overlap 61.0%; external source links 2; role review: DICTIONARY_DEFINITION; owner selection: The hub owns navigation into specific canonical-text studies; doctrine pillars own general explanations.
Learn Navigation,https://echobuddha.com/learn/,https://echobuddha.com/learn/buddhist-resources/,HUB,LEVEL 3,HUB → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 465 words; 9 content headings; authored route; nearest /learn/dhammapada-reflections/ combined overlap 13.4%; external source links 12; role review: HUB; owner selection: The Learn hub owns structured learning navigation across doctrine, dictionary, Dhammapada, and sutta paths."
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,HUMAN_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 334 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ combined overlap 51.2%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,HUMAN_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ combined overlap 54.0%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,HUMAN_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 276 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/better-than-a-thousand-empty-words/ combined overlap 54.0%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/learn/dhammapada-reflections/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 221 words; 3 content headings; authored route; nearest /learn/sutta-for-daily-life/ combined overlap 32.3%; external source links 2; role review: HUB; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,HUMAN_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 276 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/the-mind-leads-all-things/ combined overlap 51.4%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,HUMAN_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 288 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/peace-comes-from-a-trained-mind/ combined overlap 51.4%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 342 words; 9 content headings; authored route; nearest /learn/four-noble-truths/ combined overlap 26.3%; external source links 2; role review: PRIMARY_PILLAR; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/four-noble-truths/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 259 words; 8 content headings; authored route; nearest /learn/eightfold-path/ combined overlap 26.3%; external source links 2; role review: PRIMARY_PILLAR; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
Learn Navigation,https://echobuddha.com/learn/,https://echobuddha.com/learn/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 593 words; 17 content headings; authored route; nearest /start-here/ combined overlap 22.8%; external source links 0; role review: HUB; owner selection: The Learn hub owns structured learning navigation across doctrine, dictionary, Dhammapada, and sutta paths."
Learn Navigation,https://echobuddha.com/learn/,https://echobuddha.com/learn/questions-about-buddhism/,HUB,LEVEL 3,HUB → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 804 words; 1 content headings; authored route; nearest /learn/buddhism-for-beginners/ combined overlap 14.1%; external source links 0; role review: HUB; owner selection: The Learn hub owns structured learning navigation across doctrine, dictionary, Dhammapada, and sutta paths."
Patience,https://echobuddha.com/articles/three-ways-to-practice-patience/,https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 259 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/right-speech-in-daily-life/ combined overlap 52.3%; external source links 1; role review: SOURCE_STUDY; owner selection: It is the broad practical owner; source study and recurring reflections remain narrow.
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 379 words; 9 content headings; authored route; nearest /learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/ combined overlap 54.7%; external source links 2; role review: SOURCE_STUDY; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
Sutta Study,https://echobuddha.com/learn/sutta-for-daily-life/,https://echobuddha.com/learn/sutta-for-daily-life/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 283 words; 3 content headings; authored route; nearest /learn/dhammapada-reflections/ combined overlap 32.3%; external source links 2; role review: HUB; owner selection: The hub owns navigation into specific canonical-text studies; doctrine pillars own general explanations.
Sutta Study,https://echobuddha.com/learn/sutta-for-daily-life/,https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,HUMAN_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 289 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 51.8%; external source links 1; role review: SOURCE_STUDY; owner selection: The hub owns navigation into specific canonical-text studies; doctrine pillars own general explanations.
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 375 words; 9 content headings; authored route; nearest /learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/ combined overlap 54.7%; external source links 2; role review: SOURCE_STUDY; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 296 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 50.4%; external source links 1; role review: SOURCE_STUDY; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
Breath / Mindfulness of Breathing,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,HUMAN_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 258 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 50.7%; external source links 1; role review: SOURCE_STUDY; owner selection: It owns the fuller breath-method explanation; practice and source pages keep distinct roles.
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 313 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 52.3%; external source links 1; role review: SOURCE_STUDY; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/meditation-guide/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1267 words; 23 content headings; authored route; nearest /articles/how-to-meditate-for-anxiety/ combined overlap 19.0%; external source links 3; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/meditation-safety/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 254 words; 6 content headings; authored route; nearest /disclaimer/ combined overlap 18.0%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/meditation/10-minute-meditation-practice/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 462 words; 11 content headings; authored route; nearest /meditation/when-meditation-feels-hard/ combined overlap 49.3%; external source links 3; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/meditation/5-minute-meditation-practice/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 373 words; 14 content headings; authored route; nearest /meditation/breathing-meditation/ combined overlap 64.6%; external source links 1; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Breath / Mindfulness of Breathing,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,https://echobuddha.com/meditation/breathing-meditation/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 392 words; 14 content headings; authored route; nearest /meditation/loving-kindness-meditation/ combined overlap 66.8%; external source links 1; role review: PRACTICE_GUIDE; owner selection: It owns the fuller breath-method explanation; practice and source pages keep distinct roles.
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/meditation/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 387 words; 10 content headings; authored route; nearest /meditation/mindfulness-in-daily-life/ combined overlap 15.1%; external source links 2; role review: HUB; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/meditation/loving-kindness-meditation/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 395 words; 14 content headings; authored route; nearest /meditation/breathing-meditation/ combined overlap 66.8%; external source links 1; role review: PRACTICE_GUIDE; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/meditation/meditation-for-beginners/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 418 words; 14 content headings; authored route; nearest /meditation/5-minute-meditation-practice/ combined overlap 61.4%; external source links 1; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/meditation/meditation-posture-for-beginners/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 466 words; 11 content headings; authored route; nearest /meditation/10-minute-meditation-practice/ combined overlap 48.4%; external source links 2; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/meditation/mindfulness-in-daily-life/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 386 words; 14 content headings; authored route; nearest /meditation/walking-meditation/ combined overlap 66.0%; external source links 1; role review: PRACTICE_GUIDE; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
Walking Meditation,https://echobuddha.com/meditation/walking-meditation/,https://echobuddha.com/meditation/walking-meditation/,PRACTICE_GUIDE,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 379 words; 14 content headings; authored route; nearest /meditation/breathing-meditation/ combined overlap 66.8%; external source links 1; role review: PRACTICE_GUIDE; owner selection: The meditation route should own the repeatable walking practice; the article must add depth or be reviewed for consolidation.
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/meditation/when-meditation-feels-hard/,PRACTICE_GUIDE,LEVEL 3,PRACTICE_GUIDE → primary owner,Yes,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 471 words; 11 content headings; authored route; nearest /meditation/10-minute-meditation-practice/ combined overlap 49.3%; external source links 3; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Mindful Living,https://echobuddha.com/mindful-living/,https://echobuddha.com/mindful-living/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 559 words; 16 content headings; authored route; nearest /articles/ combined overlap 25.5%; external source links 0; role review: HUB; owner selection: The hub organizes daily-life applications while doctrine remains owned by Learn or dedicated articles.
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/privacy-policy/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 383 words; 8 content headings; authored route; nearest /editorial-policy/ combined overlap 9.5%; external source links 1; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/quote-attribution-policy/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 248 words; 5 content headings; authored route; nearest /buddhist-sources-and-citations/ combined overlap 20.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Quotes,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,QUOTE_REFLECTION,LEVEL 4,QUOTE_REFLECTION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 666 words; 17 content headings; individually authored story; nearest /quotes/awareness/feelings-without-the-wheel/ combined overlap 65.8%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
Quotes,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,QUOTE_REFLECTION,LEVEL 4,QUOTE_REFLECTION → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 680 words; 17 content headings; generated story; nearest /quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ combined overlap 86.0%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
Quotes,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,QUOTE_REFLECTION,LEVEL 4,QUOTE_REFLECTION → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 706 words; 17 content headings; generated story; nearest /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ combined overlap 85.2%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
Quotes,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,QUOTE_REFLECTION,LEVEL 4,QUOTE_REFLECTION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 640 words; 17 content headings; individually authored story; nearest /quotes/awareness/one-breath-before-anger-replies/ combined overlap 68.2%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
Quotes,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/awareness/,CATEGORY,LEVEL 3,CATEGORY → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 456 words; 7 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 49.1%; external source links 0; role review: CATEGORY; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
Quotes,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,QUOTE_REFLECTION,LEVEL 4,QUOTE_REFLECTION → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 685 words; 17 content headings; generated story; nearest /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ combined overlap 86.5%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
Quotes,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,QUOTE_REFLECTION,LEVEL 4,QUOTE_REFLECTION → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 700 words; 17 content headings; generated story; nearest /quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ combined overlap 87.5%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
