section label,content family,number of pages,percentage of family,fixed position?,substantive prose reused?,heading reused?,CTA reused?,value assessment,action
Loving-Kindness Meditation for Beginners,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Choose Phrases That Sound Honest,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Start With Yourself or a Supportive Person,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Gradually Widen the Circle,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Bring Loving-Kindness Into Conversation,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Simple Metta Practice Script,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
When Loving-Kindness Feels Difficult,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Daily-Life Examples,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Loving-Kindness Meditation: A Gentle Practice Guide,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
What Loving-Kindness Means,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Choose Simple Phrases,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Begin With Yourself,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Expand the Circle,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practice Exercise: Five-Minute Metta,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Choosing the Right Person to Begin With,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Bringing Metta Into Daily Speech,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
When Loving-Kindness Meets Grief or Anger,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Metta Meditation Script: A Loving-Kindness Practice for Yourself and Others,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Before You Begin the Metta Meditation Script,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Choose Loving-Kindness Phrases,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Use words you can say honestly,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Stage One: Loving-Kindness for Yourself,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Stage Two: A Supportive Person,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Stage Three: A Neutral Person,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Stage Four: A Difficult Person,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Stage Five: Widening Toward All Beings,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Closing the Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Misunderstandings About Metta,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"A Practice of Direction, Not Perfection",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Mindful Email and Texting,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Pause Before the Send Button,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Use Right Speech in Messages,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Digital Habits to Notice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Delay Is Not the Same as Avoidance,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Mindful Listening in Everyday Life,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Arrive Before You Listen,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Listen Without Building the Reply,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Reflect Before Responding,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Keep Boundaries Inside Compassion,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Why Listening Is a Mindfulness Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Practice for Difficult Conversations,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Mistakes,ARTICLE,3,6.3,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Mindfulness for Better Sleep: A Gentle Evening Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Create a Clear Transition Into Night,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Try a Slow Body Scan,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
When Thoughts Keep Returning,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Be Kind During Wakeful Nights,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Gentle Evening Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Create a Transition Ritual,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Mistakes With Sleep Mindfulness,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Reflection Before Rest,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Mindful Morning Routine for a Calmer Day,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Protect the First Five Minutes,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Sit Before the Day Becomes Busy,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Set an Intention You Can Actually Remember,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Make One Ordinary Activity the Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Ten-Minute Routine You Can Adjust,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Connect Morning Practice With the Rest of the Day,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Gentle Ending,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Mindfulness of Breathing: A Step-by-Step Guide,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Begin With the Body,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Find the Breath,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Use Counting if Helpful,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Notice the Whole Cycle,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practice Exercise: Ten Breath Windows,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Related Terms and Reflection,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Using the Breath Outside Meditation,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
When the Breath Feels Uncomfortable,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
From Calm to Insight,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Mindfulness vs Meditation: What Is the Difference for Beginners?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Mindfulness vs Meditation in Simple Terms,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
What Counts as Meditation?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Formal practice creates a training space,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
What Counts as Mindfulness?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
How Mindfulness and Meditation Support Each Other,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Breath Awareness as a Beginner Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Which Should a Beginner Practice First?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
When Practice Feels Uneventful,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Balanced Beginning,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The Noble Eightfold Path: A Practical Guide for Daily Life,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right View: Seeing More Clearly,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right Intention: The Direction of the Heart,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right Speech and Right Action,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right Livelihood and Right Effort,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right Mindfulness and Right Concentration,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
See the Eight Factors as Three Cooperating Trainings,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
One Situation Can Reveal Several Factors,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practice Exercise: One Factor a Day,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Week With the Eightfold Path,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
When the Path Feels Overwhelming,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
How to Review Your Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Non-Attachment in Relationships,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Attachment Is Not the Same as Love,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Care With an Open Hand,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Boundaries Belong to Non-Attachment,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
What Non-Attachment Does Not Ask,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Relationship Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right Livelihood in Modern Life: Buddhist Work Ethics Without Perfectionism,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right Livelihood in the Eightfold Path,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Work Dilemma: The Hidden Problem,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Mixed Conditions Are Still Conditions,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"Speech, Sales, and Concealment",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"Employers, Workers, and Mutual Duties",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Money as a Practical Condition,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Right Livelihood Review,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"Without Perfectionism, Without Escape",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right Speech in Buddhism: How to Speak with Kindness and Awareness,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The Basic Teaching: Four Kinds of Speech to Abandon,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The Four Filters of Right Speech,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Is it true?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Is it kind?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Is it useful?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Is it the right time?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Two Source Tests That Should Not Be Flattened Into One,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,LEGITIMATE_TRUST_OR_SAFETY,RETAIN_IF_USER_NEED_JUSTIFIES
Honesty Without Cruelty,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Silence Can Also Be Speech Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Listening Is Part of Right Speech,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Misunderstandings About Right Speech,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Message-Repair Example,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Gentle Reflection on Words,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Right Speech Examples for Everyday Life,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Before Sending a Message,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
At Work,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
With Family,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
When Anger Is Present,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The Source Teaching Behind the Three Roots,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,LEGITIMATE_TRUST_OR_SAFETY,RETAIN_IF_USER_NEED_JUSTIFIES
One Situation Seen Through Three Poisons,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
How the Roots Reinforce One Another,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The Skillful Counter-Qualities,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Three-Root Recognition Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Why This Teaching Still Feels Practical,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Three Ways to Practice Patience,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
