sourceId,pageUrl,claimOrTopicSupported,sourceTitle,sourceAuthor,translator,publicationOrInstitution,sourceType,buddhistTraditionOrTextualContext,canonicalReference,url,copyrightOrLicenseNote,accessDate,verificationStatus,reviewerNote
source:learn:sutta-for-daily-life:metta-sutta-explained-for-daily-life,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:sutta-for-daily-life:mindfulness-of-breathing-explained-simply,https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:sutta-for-daily-life:right-speech-in-daily-life,https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-vaca/index.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation-guide,https://echobuddha.com/meditation-guide/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html; https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html; https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation,https://echobuddha.com/meditation/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html; https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:10-minute-meditation-practice,https://echobuddha.com/meditation/10-minute-meditation-practice/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:5-minute-meditation-practice,https://echobuddha.com/meditation/5-minute-meditation-practice/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:breathing-meditation,https://echobuddha.com/meditation/breathing-meditation/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:loving-kindness-meditation,https://echobuddha.com/meditation/loving-kindness-meditation/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:meditation-for-beginners,https://echobuddha.com/meditation/meditation-for-beginners/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:meditation-posture-for-beginners,https://echobuddha.com/meditation/meditation-posture-for-beginners/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:mindfulness-in-daily-life,https://echobuddha.com/meditation/mindfulness-in-daily-life/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:walking-meditation,https://echobuddha.com/meditation/walking-meditation/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:meditation:when-meditation-feels-hard,https://echobuddha.com/meditation/when-meditation-feels-hard/,Meditation practice and safety context,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:privacy-policy,https://echobuddha.com/privacy-policy/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Not applicable or pending,adssettings.google.com,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://adssettings.google.com/,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
