"Record type","Date","Window","Query","Page","Country","Device","Clicks","Impressions","CTR","Position","Source file","Aggregation warning"
"page","","Latest 28 days","","https://echobuddha.com/how-echo-buddha-creates-content/","","","0","1","0%","48","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/","","","0","1","0%","48","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/what-is-buddhism/","","","0","1","0%","50","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/dhammapada-reflections/","","","0","1","0%","50","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/","","","0","1","0%","64","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/questions-about-buddhism/","","","0","1","0%","86","performance-latest-28/Pages.csv","Page aggregate; not property total"
"country","","Latest 28 days","","","United States","","6","497","1.21%","30.63","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","India","","3","91","3.3%","22.63","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Australia","","1","70","1.43%","28.99","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Thailand","","1","28","3.57%","23.46","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","New Zealand","","1","20","5%","41.5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Ireland","","1","6","16.67%","18.33","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Sri Lanka","","1","5","20%","3.8","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Hungary","","1","1","100%","4","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","United Kingdom","","0","186","0%","52.18","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Canada","","0","97","0%","55.74","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Vietnam","","0","48","0%","29.56","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Philippines","","0","40","0%","26","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","United Arab Emirates","","0","27","0%","7.81","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Indonesia","","0","24","0%","25.62","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Malaysia","","0","19","0%","23.79","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Bangladesh","","0","14","0%","26.86","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Singapore","","0","14","0%","39.21","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Spain","","0","13","0%","28.92","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","China","","0","10","0%","8.5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Germany","","0","9","0%","9.67","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Netherlands","","0","8","0%","11.75","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Mexico","","0","8","0%","24","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Turkey","","0","8","0%","28.5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Jordan","","0","8","0%","29.12","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Ukraine","","0","8","0%","31.88","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Poland","","0","8","0%","35.12","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Morocco","","0","8","0%","38.88","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","France","","0","7","0%","13.29","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Russia","","0","7","0%","29.71","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Pakistan","","0","6","0%","35.67","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Brazil","","0","5","0%","7.4","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Algeria","","0","5","0%","28.2","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Norway","","0","4","0%","7.75","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Myanmar (Burma)","","0","4","0%","19.5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Cambodia","","0","4","0%","44","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Croatia","","0","3","0%","2.67","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Argentina","","0","3","0%","4","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Belgium","","0","3","0%","4.67","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Japan","","0","3","0%","9.33","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Israel","","0","3","0%","29","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Romania","","0","3","0%","36.33","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Greece","","0","2","0%","6","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Italy","","0","2","0%","6","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Bulgaria","","0","2","0%","7.5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Brunei","","0","2","0%","8.5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Kenya","","0","2","0%","9","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Hong Kong","","0","2","0%","9.5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Nepal","","0","2","0%","9.5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Taiwan","","0","2","0%","10","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Denmark","","0","2","0%","13","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","South Korea","","0","2","0%","24","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Chile","","0","1","0%","1","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Ghana","","0","1","0%","2","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Nigeria","","0","1","0%","2","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Slovenia","","0","1","0%","2","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Guatemala","","0","1","0%","3","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Czechia","","0","1","0%","5","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Venezuela","","0","1","0%","7","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Austria","","0","1","0%","8","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Iran","","0","1","0%","8","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Palau","","0","1","0%","8","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Tunisia","","0","1","0%","9","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Colombia","","0","1","0%","10","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Slovakia","","0","1","0%","10","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Bhutan","","0","1","0%","11","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Sweden","","0","1","0%","11","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Trinidad & Tobago","","0","1","0%","11","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Uganda","","0","1","0%","11","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Portugal","","0","1","0%","35","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Qatar","","0","1","0%","36","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"country","","Latest 28 days","","","Saudi Arabia","","0","1","0%","49","performance-latest-28/Countries.csv","Country aggregate; no device/query intersection"
"device","","Latest 28 days","","","","Mobile","9","261","3.45%","9.77","performance-latest-28/Devices.csv","Device aggregate; no country/query intersection"
"device","","Latest 28 days","","","","Desktop","5","1105","0.45%","37.94","performance-latest-28/Devices.csv","Device aggregate; no country/query intersection"
"device","","Latest 28 days","","","","Tablet","1","9","11.11%","6.22","performance-latest-28/Devices.csv","Device aggregate; no country/query intersection"
