articleA,articleB,phase1Scope,beforeEditorialOverlap,afterEditorialOverlap,beforeOverallBodySimilarity,afterOverallBodySimilarity,deltaOverallBodySimilarity,beforeExactDuplicatedSentenceCount,afterExactDuplicatedSentenceCount,beforeNearDuplicatedParagraphCount,afterNearDuplicatedParagraphCount
loving-kindness-meditation-beginners,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.262,0.192,-0.07,8,0,2,0
how-to-meditate-for-anxiety,loving-kindness-meditation-guide,In scope pair,Low,Low,0.147,0.146,-0.001,0,0,0,0
how-to-meditate-for-anxiety,metta-meditation-script,In scope pair,Low,Low,0.188,0.185,-0.003,0,0,0,0
mindful-listening-in-everyday-life,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.241,0.165,-0.076,8,0,2,0
mindfulness-for-better-sleep,how-to-meditate-for-anxiety,In scope pair,High,Low,0.311,0.25,-0.061,8,0,3,0
mindfulness-morning-routine,how-to-meditate-for-anxiety,In scope pair,High,Low,0.278,0.21,-0.068,8,0,2,0
how-to-meditate-for-anxiety,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.233,0.229,-0.004,0,0,0,0
how-to-meditate-for-anxiety,mindfulness-vs-meditation,In scope pair,Medium,Low,0.256,0.25,-0.006,0,0,0,0
how-to-meditate-for-anxiety,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.13,0.112,-0.018,0,0,0,0
how-to-meditate-for-anxiety,right-speech-buddhism,In scope pair,Low,Low,0.129,0.113,-0.016,0,0,0,0
three-ways-to-practice-patience,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.265,0.187,-0.078,8,0,2,0
walking-meditation-step-by-step,how-to-meditate-for-anxiety,In scope pair,High,Low,0.314,0.259,-0.055,8,0,3,0
how-to-meditate-for-anxiety,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.183,0.157,-0.026,0,0,0,0
how-to-meditate-for-anxiety,what-is-karma-in-buddhism,In scope pair,Low,Low,0.124,0.101,-0.023,0,0,0,0
how-to-practice-non-attachment,how-to-meditate-for-beginners,In scope pair,Low,Low,0.121,0.116,-0.005,0,0,0,0
impermanence-in-buddhism,how-to-meditate-for-beginners,Context pair,Low,Low,0.108,0.108,0,0,0,0,0
how-to-meditate-for-beginners,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.101,0.101,0,0,0,0,0
letting-go-without-giving-up,how-to-meditate-for-beginners,In scope pair,Low,Low,0.133,0.116,-0.017,0,0,0,0
loving-kindness-meditation-beginners,how-to-meditate-for-beginners,In scope pair,Low,Low,0.166,0.154,-0.012,0,0,0,0
loving-kindness-meditation-guide,how-to-meditate-for-beginners,Context pair,Low,Low,0.14,0.14,0,0,0,0,0
metta-meditation-script,how-to-meditate-for-beginners,Context pair,Low,Low,0.171,0.171,0,0,0,0,0
mindful-listening-in-everyday-life,how-to-meditate-for-beginners,In scope pair,Low,Low,0.136,0.128,-0.008,0,0,0,0
mindfulness-for-better-sleep,how-to-meditate-for-beginners,In scope pair,Low,Low,0.181,0.184,0.003,0,0,0,0
mindfulness-morning-routine,how-to-meditate-for-beginners,In scope pair,Low,Low,0.202,0.199,-0.003,0,0,0,0
mindfulness-of-breathing-guide,how-to-meditate-for-beginners,Context pair,Low,Low,0.235,0.235,0,0,0,0,0
mindfulness-vs-meditation,how-to-meditate-for-beginners,Context pair,Low,Low,0.248,0.248,0,0,0,0,0
how-to-meditate-for-beginners,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.113,0.113,0,0,0,0,0
right-speech-buddhism,how-to-meditate-for-beginners,Context pair,Low,Low,0.096,0.096,0,0,0,0,0
three-ways-to-practice-patience,how-to-meditate-for-beginners,In scope pair,Low,Low,0.141,0.129,-0.012,0,0,0,0
walking-meditation-step-by-step,how-to-meditate-for-beginners,In scope pair,Low,Low,0.201,0.194,-0.007,0,0,0,0
how-to-meditate-for-beginners,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.163,0.163,0,0,0,0,0
what-is-karma-in-buddhism,how-to-meditate-for-beginners,Context pair,Low,Low,0.104,0.104,0,0,0,0,0
how-to-practice-non-attachment,impermanence-in-buddhism,In scope pair,Low,Low,0.202,0.192,-0.01,0,0,0,0
how-to-practice-non-attachment,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.211,0.208,-0.003,0,0,0,0
letting-go-without-giving-up,how-to-practice-non-attachment,In scope pair,High,Medium,0.341,0.294,-0.047,8,0,4,0
how-to-practice-non-attachment,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.241,0.159,-0.082,8,0,2,0
how-to-practice-non-attachment,loving-kindness-meditation-guide,In scope pair,Low,Low,0.129,0.119,-0.01,0,0,0,0
how-to-practice-non-attachment,metta-meditation-script,In scope pair,Low,Low,0.148,0.147,-0.001,0,0,0,0
mindful-listening-in-everyday-life,how-to-practice-non-attachment,In scope pair,Medium,Low,0.255,0.18,-0.075,8,0,2,0
how-to-practice-non-attachment,mindfulness-for-better-sleep,In scope pair,Medium,Low,0.229,0.148,-0.081,8,0,2,0
how-to-practice-non-attachment,mindfulness-morning-routine,In scope pair,Medium,Low,0.236,0.16,-0.076,8,0,2,0
how-to-practice-non-attachment,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.114,0.114,0,0,0,0,0
how-to-practice-non-attachment,mindfulness-vs-meditation,In scope pair,Low,Low,0.153,0.14,-0.013,0,0,0,0
how-to-practice-non-attachment,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.131,0.113,-0.018,0,0,0,0
how-to-practice-non-attachment,right-speech-buddhism,In scope pair,Low,Low,0.136,0.124,-0.012,0,0,0,0
three-ways-to-practice-patience,how-to-practice-non-attachment,In scope pair,Medium,Low,0.252,0.183,-0.069,8,0,2,0
how-to-practice-non-attachment,walking-meditation-step-by-step,In scope pair,Medium,Low,0.229,0.145,-0.084,8,0,2,0
how-to-practice-non-attachment,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.185,0.16,-0.025,0,0,0,0
how-to-practice-non-attachment,what-is-karma-in-buddhism,In scope pair,Low,Low,0.157,0.145,-0.012,0,0,0,0
letting-go-without-giving-up,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.19,0.18,-0.01,0,0,0,0
loving-kindness-meditation-beginners,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.122,0.111,-0.011,0,0,0,0
loving-kindness-meditation-guide,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.12,0.12,0,0,0,0,0
metta-meditation-script,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.115,0.115,0,0,0,0,0
mindful-listening-in-everyday-life,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.116,0.105,-0.011,0,0,0,0
mindfulness-for-better-sleep,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.116,0.107,-0.009,0,0,0,0
mindfulness-morning-routine,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.116,0.101,-0.015,0,0,0,0
mindfulness-of-breathing-guide,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.129,0.129,0,0,0,0,0
mindfulness-vs-meditation,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.123,0.123,0,0,0,0,0
impermanence-in-buddhism-letting-go,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.105,0.105,0,0,0,0,0
right-speech-buddhism,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.097,0.097,0,0,0,0,0
three-ways-to-practice-patience,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.116,0.107,-0.009,0,0,0,0
walking-meditation-step-by-step,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.114,0.1,-0.014,0,0,0,0
impermanence-in-buddhism-letting-go,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.185,0.185,0,0,0,0,0
what-is-karma-in-buddhism,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.134,0.134,0,0,0,0,0
impermanence-in-buddhism,impermanence-in-buddhism-letting-go,Context pair,Medium,Medium,0.337,0.337,0,0,0,0,0
letting-go-without-giving-up,impermanence-in-buddhism,In scope pair,Low,Low,0.198,0.185,-0.013,0,0,0,0
loving-kindness-meditation-beginners,impermanence-in-buddhism,In scope pair,Low,Low,0.145,0.122,-0.023,0,0,0,0
impermanence-in-buddhism,loving-kindness-meditation-guide,Context pair,Low,Low,0.123,0.123,0,0,0,0,0
metta-meditation-script,impermanence-in-buddhism,Context pair,Low,Low,0.138,0.138,0,0,0,0,0
mindful-listening-in-everyday-life,impermanence-in-buddhism,In scope pair,Low,Low,0.13,0.115,-0.015,0,0,0,0
mindfulness-for-better-sleep,impermanence-in-buddhism,In scope pair,Low,Low,0.131,0.116,-0.015,0,0,0,0
mindfulness-morning-routine,impermanence-in-buddhism,In scope pair,Low,Low,0.135,0.119,-0.016,0,0,0,0
impermanence-in-buddhism,mindfulness-of-breathing-guide,Context pair,Low,Low,0.121,0.121,0,0,0,0,0
mindfulness-vs-meditation,impermanence-in-buddhism,Context pair,Low,Low,0.147,0.147,0,0,0,0,0
impermanence-in-buddhism,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.114,0.114,0,0,0,0,0
impermanence-in-buddhism,right-speech-buddhism,Context pair,Low,Low,0.132,0.132,0,0,0,0,0
three-ways-to-practice-patience,impermanence-in-buddhism,In scope pair,Low,Low,0.141,0.128,-0.013,0,0,0,0
walking-meditation-step-by-step,impermanence-in-buddhism,In scope pair,Low,Low,0.125,0.11,-0.015,0,0,0,0
impermanence-in-buddhism,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.177,0.177,0,0,0,0,0
what-is-karma-in-buddhism,impermanence-in-buddhism,Context pair,Low,Low,0.146,0.146,0,0,0,0,0
letting-go-without-giving-up,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.238,0.15,-0.088,8,0,2,0
letting-go-without-giving-up,loving-kindness-meditation-guide,In scope pair,Low,Low,0.13,0.114,-0.016,0,0,0,0
letting-go-without-giving-up,metta-meditation-script,In scope pair,Low,Low,0.138,0.125,-0.013,0,0,0,0
mindful-listening-in-everyday-life,letting-go-without-giving-up,In scope pair,Medium,Low,0.252,0.177,-0.075,8,0,2,0
letting-go-without-giving-up,mindfulness-for-better-sleep,In scope pair,Medium,Low,0.228,0.144,-0.084,8,0,2,0
letting-go-without-giving-up,mindfulness-morning-routine,In scope pair,Medium,Low,0.242,0.162,-0.08,8,0,2,0
letting-go-without-giving-up,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.129,0.115,-0.014,0,0,0,0
letting-go-without-giving-up,mindfulness-vs-meditation,In scope pair,Low,Low,0.143,0.122,-0.021,0,0,0,0
letting-go-without-giving-up,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.135,0.121,-0.014,0,0,0,0
letting-go-without-giving-up,right-speech-buddhism,In scope pair,Low,Low,0.134,0.116,-0.018,0,0,0,0
three-ways-to-practice-patience,letting-go-without-giving-up,In scope pair,Medium,Low,0.264,0.192,-0.072,8,0,2,0
letting-go-without-giving-up,walking-meditation-step-by-step,In scope pair,Medium,Low,0.228,0.143,-0.085,8,0,2,0
letting-go-without-giving-up,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.172,0.144,-0.028,0,0,0,0
letting-go-without-giving-up,what-is-karma-in-buddhism,In scope pair,Low,Low,0.149,0.128,-0.021,0,0,0,0
loving-kindness-meditation-beginners,loving-kindness-meditation-guide,In scope pair,Medium,Medium,0.332,0.333,0.001,0,0,0,0
loving-kindness-meditation-beginners,metta-meditation-script,In scope pair,Medium,Medium,0.332,0.337,0.005,0,0,0,0
mindful-listening-in-everyday-life,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.259,0.18,-0.079,8,0,3,0
mindfulness-for-better-sleep,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.238,0.151,-0.087,8,0,3,0
mindfulness-morning-routine,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.242,0.157,-0.085,8,0,2,0
loving-kindness-meditation-beginners,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.143,0.127,-0.016,0,0,0,0
loving-kindness-meditation-beginners,mindfulness-vs-meditation,In scope pair,Low,Low,0.207,0.187,-0.02,0,0,0,0
loving-kindness-meditation-beginners,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.13,0.109,-0.021,0,0,0,0
loving-kindness-meditation-beginners,right-speech-buddhism,In scope pair,Low,Low,0.151,0.131,-0.02,0,0,0,0
three-ways-to-practice-patience,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.258,0.174,-0.084,8,0,2,0
walking-meditation-step-by-step,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.276,0.192,-0.084,8,0,2,0
loving-kindness-meditation-beginners,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.165,0.144,-0.021,0,0,0,0
loving-kindness-meditation-beginners,what-is-karma-in-buddhism,In scope pair,Low,Low,0.138,0.114,-0.024,0,0,0,0
metta-meditation-script,loving-kindness-meditation-guide,Context pair,Medium,Medium,0.319,0.319,0,0,0,0,0
mindful-listening-in-everyday-life,loving-kindness-meditation-guide,In scope pair,Low,Low,0.15,0.139,-0.011,0,0,0,0
mindfulness-for-better-sleep,loving-kindness-meditation-guide,In scope pair,Low,Low,0.123,0.109,-0.014,0,0,0,0
mindfulness-morning-routine,loving-kindness-meditation-guide,In scope pair,Low,Low,0.121,0.107,-0.014,0,0,0,0
loving-kindness-meditation-guide,mindfulness-of-breathing-guide,Context pair,Low,Low,0.132,0.132,0,0,0,0,0
mindfulness-vs-meditation,loving-kindness-meditation-guide,Context pair,Low,Low,0.173,0.173,0,0,0,0,0
loving-kindness-meditation-guide,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.121,0.121,0,0,0,0,0
right-speech-buddhism,loving-kindness-meditation-guide,Context pair,Low,Low,0.142,0.142,0,0,0,0,0
three-ways-to-practice-patience,loving-kindness-meditation-guide,In scope pair,Low,Low,0.142,0.129,-0.013,0,0,0,0
walking-meditation-step-by-step,loving-kindness-meditation-guide,In scope pair,Low,Low,0.155,0.143,-0.012,0,0,0,0
loving-kindness-meditation-guide,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.128,0.128,0,0,0,0,0
what-is-karma-in-buddhism,loving-kindness-meditation-guide,Context pair,Low,Low,0.121,0.121,0,0,0,0,0
mindful-listening-in-everyday-life,metta-meditation-script,In scope pair,Low,Low,0.151,0.145,-0.006,0,0,0,0
mindfulness-for-better-sleep,metta-meditation-script,In scope pair,Low,Low,0.152,0.144,-0.008,0,0,0,0
mindfulness-morning-routine,metta-meditation-script,In scope pair,Low,Low,0.153,0.144,-0.009,0,0,0,0
metta-meditation-script,mindfulness-of-breathing-guide,Context pair,Low,Low,0.143,0.143,0,0,0,0,0
metta-meditation-script,mindfulness-vs-meditation,Context pair,Low,Low,0.207,0.207,0,0,0,0,0
metta-meditation-script,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.126,0.126,0,0,0,0,0
metta-meditation-script,right-speech-buddhism,Context pair,Low,Low,0.135,0.135,0,0,0,0,0
three-ways-to-practice-patience,metta-meditation-script,In scope pair,Low,Low,0.144,0.14,-0.004,0,0,0,0
walking-meditation-step-by-step,metta-meditation-script,In scope pair,Low,Low,0.174,0.168,-0.006,0,0,0,0
metta-meditation-script,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.157,0.157,0,0,0,0,0
metta-meditation-script,what-is-karma-in-buddhism,Context pair,Low,Low,0.128,0.128,0,0,0,0,0
mindful-listening-in-everyday-life,mindfulness-for-better-sleep,In scope pair,Medium,Low,0.253,0.168,-0.085,8,0,3,0
mindful-listening-in-everyday-life,mindfulness-morning-routine,In scope pair,Medium,Low,0.266,0.192,-0.074,8,0,2,0
mindful-listening-in-everyday-life,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.142,0.133,-0.009,0,0,0,0
mindful-listening-in-everyday-life,mindfulness-vs-meditation,In scope pair,Low,Low,0.176,0.163,-0.013,0,0,0,0
mindful-listening-in-everyday-life,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.147,0.137,-0.01,0,0,0,0
mindful-listening-in-everyday-life,right-speech-buddhism,In scope pair,Low,Low,0.205,0.202,-0.003,0,0,0,0
mindful-listening-in-everyday-life,three-ways-to-practice-patience,In scope pair,High,Low,0.279,0.204,-0.075,8,0,2,0
mindful-listening-in-everyday-life,walking-meditation-step-by-step,In scope pair,Medium,Low,0.26,0.182,-0.078,8,0,3,0
mindful-listening-in-everyday-life,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.162,0.146,-0.016,0,0,0,0
mindful-listening-in-everyday-life,what-is-karma-in-buddhism,In scope pair,Low,Low,0.152,0.138,-0.014,0,0,0,0
mindfulness-for-better-sleep,mindfulness-morning-routine,In scope pair,High,Low,0.285,0.214,-0.071,8,0,3,0
mindfulness-for-better-sleep,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.19,0.179,-0.011,0,0,0,0
mindfulness-for-better-sleep,mindfulness-vs-meditation,In scope pair,Low,Low,0.224,0.216,-0.008,0,0,0,0
mindfulness-for-better-sleep,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.129,0.106,-0.023,0,0,0,0
mindfulness-for-better-sleep,right-speech-buddhism,In scope pair,Low,Low,0.113,0.092,-0.021,0,0,0,0
three-ways-to-practice-patience,mindfulness-for-better-sleep,In scope pair,Medium,Low,0.241,0.16,-0.081,8,0,2,0
mindfulness-for-better-sleep,walking-meditation-step-by-step,In scope pair,High,Low,0.272,0.201,-0.071,8,0,2,0
mindfulness-for-better-sleep,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.159,0.132,-0.027,0,0,0,0
mindfulness-for-better-sleep,what-is-karma-in-buddhism,In scope pair,Low,Low,0.12,0.094,-0.026,0,0,0,0
mindfulness-morning-routine,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.181,0.178,-0.003,0,0,0,0
mindfulness-morning-routine,mindfulness-vs-meditation,In scope pair,Low,Low,0.229,0.214,-0.015,0,0,0,0
mindfulness-morning-routine,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.143,0.123,-0.02,0,0,0,0
mindfulness-morning-routine,right-speech-buddhism,In scope pair,Low,Low,0.127,0.111,-0.016,0,0,0,0
three-ways-to-practice-patience,mindfulness-morning-routine,In scope pair,Medium,Low,0.255,0.188,-0.067,8,0,2,0
walking-meditation-step-by-step,mindfulness-morning-routine,In scope pair,High,Low,0.274,0.204,-0.07,8,0,2,0
mindfulness-morning-routine,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.162,0.134,-0.028,0,0,0,0
mindfulness-morning-routine,what-is-karma-in-buddhism,In scope pair,Low,Low,0.14,0.12,-0.02,0,0,0,0
mindfulness-vs-meditation,mindfulness-of-breathing-guide,Context pair,Low,Low,0.256,0.256,0,0,0,0,0
mindfulness-of-breathing-guide,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.13,0.13,0,0,0,0,0
right-speech-buddhism,mindfulness-of-breathing-guide,Context pair,Low,Low,0.094,0.094,0,0,0,0,0
three-ways-to-practice-patience,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.148,0.14,-0.008,0,0,0,0
walking-meditation-step-by-step,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.201,0.197,-0.004,0,0,0,0
mindfulness-of-breathing-guide,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.167,0.167,0,0,0,0,0
what-is-karma-in-buddhism,mindfulness-of-breathing-guide,Context pair,Low,Low,0.098,0.098,0,0,0,0,0
mindfulness-vs-meditation,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.174,0.174,0,0,0,0,0
mindfulness-vs-meditation,right-speech-buddhism,Context pair,Low,Low,0.134,0.134,0,0,0,0,0
three-ways-to-practice-patience,mindfulness-vs-meditation,In scope pair,Low,Low,0.169,0.16,-0.009,0,0,0,0
walking-meditation-step-by-step,mindfulness-vs-meditation,In scope pair,Low,Low,0.259,0.246,-0.013,0,0,0,0
mindfulness-vs-meditation,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.204,0.204,0,0,0,0,0
mindfulness-vs-meditation,what-is-karma-in-buddhism,Context pair,Low,Low,0.131,0.131,0,0,0,0,0
right-speech-buddhism,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.249,0.249,0,0,0,0,0
three-ways-to-practice-patience,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.139,0.126,-0.013,0,0,0,0
walking-meditation-step-by-step,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.139,0.125,-0.014,0,0,0,0
noble-eightfold-path-practical-guide,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.2,0.2,0,0,0,0,0
what-is-karma-in-buddhism,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.154,0.154,0,0,0,0,0
three-ways-to-practice-patience,right-speech-buddhism,In scope pair,Low,Low,0.155,0.152,-0.003,0,0,0,0
walking-meditation-step-by-step,right-speech-buddhism,In scope pair,Low,Low,0.112,0.1,-0.012,0,0,0,0
right-speech-buddhism,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.175,0.175,0,0,0,0,0
what-is-karma-in-buddhism,right-speech-buddhism,Context pair,Low,Low,0.162,0.162,0,0,0,0,0
three-ways-to-practice-patience,walking-meditation-step-by-step,In scope pair,Medium,Low,0.257,0.174,-0.083,8,0,2,0
three-ways-to-practice-patience,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.173,0.158,-0.015,0,0,0,0
three-ways-to-practice-patience,what-is-karma-in-buddhism,In scope pair,Low,Low,0.152,0.141,-0.011,0,0,0,0
walking-meditation-step-by-step,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.183,0.162,-0.021,0,0,0,0
walking-meditation-step-by-step,what-is-karma-in-buddhism,In scope pair,Low,Low,0.115,0.092,-0.023,0,0,0,0
what-is-karma-in-buddhism,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.177,0.177,0,0,0,0,0
